"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
,07-2055-00-108-05-S00N-05-N-V-OFFICE EXPENSES,6249000.00,5000000.00,0.00,11249000.00,11210034.00,38966.00
,07-2055-00-108-05-S00N-06-N-V-MEDICAL REIMBURSEMENT,15680000.00,400000.00,0.00,16080000.00,16062331.00,17669.00
,07-2055-00-108-05-S00N-09-N-V-ADVERTISING & PUBLICITY,51000.00,36400.00,0.00,87400.00,87049.00,351.00
,07-2055-00-108-05-S00N-15-N-V-TRAINING,782000.00,0.00,64600.00,717400.00,719025.00,-1625.00
,07-2055-00-108-05-S00N-19-N-V-SECRET SERVICE EXPENDITURE,17000.00,0.00,0.00,17000.00,17000.00,0.00
,07-2055-00-108-05-S00N-20-N-V-OTHER CHARGES,225000.00,0.00,0.00,225000.00,224424.00,576.00
,07-2055-00-108-05-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,3074251.00,0.00,3075251.00,2954838.00,120413.00
,07-2055-00-108-05-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),13367000.00,1000000.00,0.00,14367000.00,14365524.00,1476.00
,07-2055-00-108-05-S00N-31-N-V-MACHINERY & EQUIPMENT,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2055-00-108-05-S00N-33-N-V-MATERIAL AND SUPPLY,10000000.00,2000000.00,0.00,12000000.00,11999614.00,386.00
,07-2055-00-108-05-S00N-64-N-V-TRANSFER EXPENSES,552000.00,0.00,94700.00,457300.00,457645.00,-345.00
,07-2055-00-108-05-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,3556000.00,4500000.00,125652.00,7930348.00,7765599.00,164749.00
,07-2055-00-109-01-S00N-01-N-V-SALARIES,6873420000.00,0.00,1453727347.00,5419692653.00,5419692653.00,0.00
,07-2055-00-109-01-S00N-02-N-V-WAGES,1567000.00,0.00,1349200.00,217800.00,217750.00,50.00
,07-2055-00-109-01-S00N-03-N-V-TRAVEL EXPENSES,37342000.00,2000000.00,0.00,39342000.00,31181420.00,8160580.00
,07-2055-00-109-01-S00N-05-N-V-OFFICE EXPENSES,37249000.00,17000000.00,0.00,54249000.00,54247109.00,1891.00
,07-2055-00-109-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,56394000.00,0.00,9134500.00,47259500.00,47137854.00,121646.00
,"07-2055-00-109-01-S00N-07-N-V-RENT, RATES & TAXES",7000000.00,2487000.00,0.00,9487000.00,7665614.00,1821386.00
,07-2055-00-109-01-S00N-09-N-V-ADVERTISING & PUBLICITY,368000.00,200000.00,0.00,568000.00,451966.00,116034.00
,07-2055-00-109-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,7000.00,0.00,0.00,7000.00,6965.00,35.00
,07-2055-00-109-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,2000000.00,400000.00,0.00,2400000.00,2280370.00,119630.00
,07-2055-00-109-01-S00N-15-N-V-TRAINING,2207000.00,150000.00,0.00,2357000.00,2351570.00,5430.00
,07-2055-00-109-01-S00N-19-N-V-SECRET SERVICE EXPENDITURE,300000.00,1750000.00,0.00,2050000.00,2050000.00,0.00
,07-2055-00-109-01-S00N-20-N-C-OTHER CHARGES,0.00,189363.00,3.00,189360.00,189363.00,-3.00
,07-2055-00-109-01-S00N-20-N-V-OTHER CHARGES,2575000.00,10760000.00,0.00,13335000.00,13331537.00,3463.00
,07-2055-00-109-01-S00N-21-N-V-MAINTENANCE,0.00,1298000.00,0.00,1298000.00,1298000.00,0.00
,07-2055-00-109-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,42919741.00,0.00,42920741.00,42788221.00,132520.00
,07-2055-00-109-01-S00N-29-N-C-COMPENSATIONS,0.00,500000.00,0.00,500000.00,500000.00,0.00
,07-2055-00-109-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),48751000.00,21740000.00,0.00,70491000.00,70489593.00,1407.00
,07-2055-00-109-01-S00N-31-N-V-MACHINERY & EQUIPMENT,1000.00,1465253.00,0.00,1466253.00,1434409.00,31844.00
,07-2055-00-109-01-S00N-33-N-V-MATERIAL AND SUPPLY,16000000.00,14100000.00,0.00,30100000.00,30096484.00,3516.00
,07-2055-00-109-01-S00N-64-N-V-TRANSFER EXPENSES,1166000.00,0.00,539000.00,627000.00,578784.00,48216.00
,07-2055-00-109-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,26795000.00,11634000.00,0.00,38429000.00,34237603.00,4191397.00
,07-2055-00-109-02-S00N-20-N-V-OTHER CHARGES,37950000.00,0.00,3293000.00,34657000.00,34311118.00,345882.00
,07-2055-00-109-03-S00N-02-N-V-WAGES,692570000.00,21000000.00,0.00,713570000.00,596742295.00,116827705.00
,07-2055-00-109-03-S00N-03-N-V-TRAVEL EXPENSES,2137000.00,1500000.00,0.00,3637000.00,1617746.00,2019254.00
,07-2055-00-109-03-S00N-20-N-V-OTHER CHARGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2055-00-111-01-S00N-01-N-V-SALARIES,48950000.00,0.00,8959057.00,39990943.00,39990943.00,0.00
,07-2055-00-111-01-S00N-03-N-V-TRAVEL EXPENSES,228000.00,0.00,106293.00,121707.00,121707.00,0.00
,07-2055-00-111-01-S00N-05-N-V-OFFICE EXPENSES,480000.00,20000.00,0.00,500000.00,499955.00,45.00
,07-2055-00-111-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,604000.00,50000.00,0.00,654000.00,654000.00,0.00
,07-2055-00-111-01-S00N-09-N-V-ADVERTISING & PUBLICITY,91000.00,0.00,91000.00,0.00,0.00,0.00
,07-2055-00-111-01-S00N-15-N-V-TRAINING,33000.00,0.00,0.00,33000.00,32973.00,27.00
,07-2055-00-111-01-S00N-20-N-V-OTHER CHARGES,23000.00,0.00,0.00,23000.00,22965.00,35.00
,07-2055-00-111-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2055-00-111-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),520000.00,0.00,0.00,520000.00,519976.00,24.00
,07-2055-00-111-01-S00N-33-N-V-MATERIAL AND SUPPLY,85000.00,0.00,0.00,85000.00,85000.00,0.00
,07-2055-00-111-01-S00N-64-N-V-TRANSFER EXPENSES,9000.00,0.00,7000.00,2000.00,1200.00,800.00
,07-2055-00-111-03-S00N-01-N-V-SALARIES,25147000.00,0.00,3466922.00,21680078.00,21680078.00,0.00
,07-2055-00-111-03-S00N-02-N-V-WAGES,105000.00,7000.00,0.00,112000.00,107100.00,4900.00
,07-2055-00-111-03-S00N-03-N-V-TRAVEL EXPENSES,204000.00,0.00,159519.00,44481.00,44481.00,0.00
,07-2055-00-111-03-S00N-05-N-V-OFFICE EXPENSES,378000.00,100000.00,0.00,478000.00,478000.00,0.00
,07-2055-00-111-03-S00N-06-N-V-MEDICAL REIMBURSEMENT,192000.00,50000.00,0.00,242000.00,169954.00,72046.00
,"07-2055-00-111-03-S00N-07-N-V-RENT, RATES & TAXES",56000.00,0.00,4636.00,51364.00,51364.00,0.00
,07-2055-00-111-03-S00N-15-N-V-TRAINING,13000.00,0.00,0.00,13000.00,11415.00,1585.00
,07-2055-00-111-03-S00N-19-N-V-SECRET SERVICE EXPENDITURE,9000.00,0.00,0.00,9000.00,9000.00,0.00
,07-2055-00-111-03-S00N-20-N-V-OTHER CHARGES,21000.00,0.00,0.00,21000.00,20960.00,40.00
,07-2055-00-111-03-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,789619.00,0.00,790619.00,789619.00,1000.00
,07-2055-00-111-03-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),381000.00,0.00,0.00,381000.00,380961.00,39.00
,07-2055-00-111-03-S00N-33-N-V-MATERIAL AND SUPPLY,45000.00,0.00,0.00,45000.00,42815.00,2185.00
,07-2055-00-111-03-S00N-64-N-V-TRANSFER EXPENSES,3000.00,0.00,3000.00,0.00,0.00,0.00
,07-2055-00-111-03-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,283000.00,100000.00,0.00,383000.00,379395.00,3605.00
,07-2055-00-114-01-S00N-01-N-V-SALARIES,266869000.00,0.00,45000000.00,221869000.00,215042819.00,6826181.00
,07-2055-00-114-01-S00N-02-N-V-WAGES,201000.00,0.00,200000.00,1000.00,0.00,1000.00
,07-2055-00-114-01-S00N-03-N-V-TRAVEL EXPENSES,1258000.00,0.00,200000.00,1058000.00,1045581.00,12419.00
,07-2055-00-114-01-S00N-05-N-V-OFFICE EXPENSES,1644000.00,2356000.00,0.00,4000000.00,4000000.00,0.00
,07-2055-00-114-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,2212000.00,500000.00,0.00,2712000.00,2711881.00,119.00
,"07-2055-00-114-01-S00N-07-N-V-RENT, RATES & TAXES",235000.00,0.00,31600.00,203400.00,203379.00,21.00
,07-2055-00-114-01-S00N-09-N-V-ADVERTISING & PUBLICITY,24000.00,20000.00,0.00,44000.00,43998.00,2.00
,07-2055-00-114-01-S00N-15-N-V-TRAINING,152000.00,0.00,0.00,152000.00,151979.00,21.00
,07-2055-00-114-01-S00N-20-N-V-OTHER CHARGES,50000.00,0.00,0.00,50000.00,49990.00,10.00
,07-2055-00-114-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2055-00-114-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),433000.00,0.00,105000.00,328000.00,322774.00,5226.00
,07-2055-00-114-01-S00N-31-N-V-MACHINERY & EQUIPMENT,1000.00,600000.00,0.00,601000.00,600993.00,7.00
,07-2055-00-114-01-S00N-33-N-V-MATERIAL AND SUPPLY,1044000.00,0.00,522000.00,522000.00,522000.00,0.00
,07-2055-00-114-01-S00N-64-N-V-TRANSFER EXPENSES,40000.00,0.00,34000.00,6000.00,5322.00,678.00
,07-2055-00-114-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,280000.00,46000.00,0.00,326000.00,325347.00,653.00
,07-2055-00-115-01-C90N-27-N-V-MOTOR VEHICLES (Purchase),0.00,1487000.00,0.00,1487000.00,0.00,1487000.00
,07-2055-00-115-01-C90N-33-N-V-MATERIAL AND SUPPLY,2700000.00,0.00,2700000.00,0.00,0.00,0.00
,07-2055-00-115-01-S10N-27-N-V-MOTOR VEHICLES (Purchase),0.00,165000.00,0.00,165000.00,0.00,165000.00
,07-2055-00-115-01-S10N-33-N-V-MATERIAL AND SUPPLY,300000.00,0.00,300000.00,0.00,0.00,0.00
,07-2055-00-115-02-C00N-03-N-V-TRAVEL EXPENSES,3000000.00,0.00,389300.00,2610700.00,2600184.00,10516.00
,07-2055-00-115-02-C00N-05-N-V-OFFICE EXPENSES,2000000.00,0.00,676951.00,1323049.00,1323049.00,0.00
,"07-2055-00-115-02-C00N-07-N-V-RENT, RATES & TAXES",100000.00,0.00,29100.00,70900.00,70861.00,39.00
,07-2055-00-115-02-C00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1500000.00,0.00,320200.00,1179800.00,1173316.00,6484.00
,07-2055-00-115-02-C00N-64-N-V-TRANSFER EXPENSES,10000.00,0.00,10000.00,0.00,0.00,0.00
,07-2055-00-115-02-C00N-99-N-V-HONORARIUM,21290000.00,0.00,226458.00,21063542.00,21063542.00,0.00
,07-2055-00-115-02-S00N-99-N-V-HONORARIUM,7500000.00,0.00,2600000.00,4900000.00,4900000.00,0.00
,07-2055-00-115-03-S00N-05-N-V-OFFICE EXPENSES,0.00,37406000.00,0.00,37406000.00,37244184.00,161816.00
,07-2055-00-116-01-S00N-01-N-V-SALARIES,75206000.00,0.00,12965381.00,62240619.00,62211235.00,29384.00
,07-2055-00-116-01-S00N-02-N-V-WAGES,694000.00,0.00,171189.00,522811.00,509211.00,13600.00
,07-2055-00-116-01-S00N-03-N-V-TRAVEL EXPENSES,472000.00,0.00,200000.00,272000.00,215448.00,56552.00
,07-2055-00-116-01-S00N-05-N-V-OFFICE EXPENSES,3062000.00,0.00,0.00,3062000.00,3061919.00,81.00
,07-2055-00-116-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,499000.00,0.00,0.00,499000.00,280521.00,218479.00
,07-2055-00-116-01-S00N-09-N-V-ADVERTISING & PUBLICITY,246000.00,0.00,0.00,246000.00,158520.00,87480.00
,07-2055-00-116-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,20000.00,0.00,0.00,20000.00,16581.00,3419.00
,07-2055-00-116-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,63000.00,0.00,63000.00,0.00,0.00,0.00
,07-2055-00-116-01-S00N-15-N-V-TRAINING,42000.00,0.00,0.00,42000.00,41938.00,62.00
,07-2055-00-116-01-S00N-20-N-V-OTHER CHARGES,1253000.00,0.00,0.00,1253000.00,1252936.00,64.00
,07-2055-00-116-01-S00N-21-N-V-MAINTENANCE,1000000.00,0.00,0.00,1000000.00,999812.00,188.00
,07-2055-00-116-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,741693.00,0.00,742693.00,719270.00,23423.00
,07-2055-00-116-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),633000.00,0.00,0.00,633000.00,626411.00,6589.00
,07-2055-00-116-01-S00N-33-N-V-MATERIAL AND SUPPLY,3885000.00,0.00,0.00,3885000.00,3884600.00,400.00
,07-2055-00-116-01-S00N-64-N-V-TRANSFER EXPENSES,6000.00,0.00,0.00,6000.00,0.00,6000.00
,07-2055-00-116-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,118000.00,0.00,0.00,118000.00,118000.00,0.00
,07-2055-00-116-02-C00N-15-N-V-TRAINING,0.00,234188.00,0.00,234188.00,233725.00,463.00
,07-2055-00-116-02-C00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,0.00,669726.00,0.00,669726.00,546153.00,123573.00
,07-2055-00-116-03-C00N-33-N-V-MATERIAL AND SUPPLY,0.00,6020000.00,0.00,6020000.00,6019947.00,53.00
,07-2055-00-116-03-C00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,0.00,4074000.00,0.00,4074000.00,3804638.00,269362.00
,07-2056-00-001-01-S00N-01-N-V-SALARIES,22878000.00,0.00,5000000.00,17878000.00,16420305.00,1457695.00
,07-2056-00-001-01-S00N-02-N-V-WAGES,4000.00,0.00,0.00,4000.00,3800.00,200.00
,07-2056-00-001-01-S00N-03-N-V-TRAVEL EXPENSES,37000.00,0.00,0.00,37000.00,20851.00,16149.00
,07-2056-00-001-01-S00N-05-N-V-OFFICE EXPENSES,791000.00,0.00,0.00,791000.00,790919.00,81.00
,07-2056-00-001-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,673000.00,0.00,0.00,673000.00,306140.00,366860.00
,"07-2056-00-001-01-S00N-07-N-V-RENT, RATES & TAXES",14000.00,0.00,0.00,14000.00,0.00,14000.00
,07-2056-00-001-01-S00N-09-N-V-ADVERTISING & PUBLICITY,19000.00,55000.00,0.00,74000.00,74000.00,0.00
,07-2056-00-001-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,9000.00,0.00,0.00,9000.00,5008.00,3992.00
,07-2056-00-001-01-S00N-15-N-V-TRAINING,12000.00,0.00,12000.00,0.00,0.00,0.00
,07-2056-00-001-01-S00N-20-N-V-OTHER CHARGES,10000.00,0.00,0.00,10000.00,10000.00,0.00
,07-2056-00-001-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,1596096.00,0.00,1597096.00,1597096.00,0.00
,07-2056-00-001-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),527000.00,0.00,170000.00,357000.00,351596.00,5404.00
,07-2056-00-001-01-S00N-33-N-V-MATERIAL AND SUPPLY,22000.00,0.00,22000.00,0.00,0.00,0.00
,07-2056-00-001-01-S00N-64-N-V-TRANSFER EXPENSES,2000.00,25000.00,0.00,27000.00,19755.00,7245.00
,07-2056-00-101-01-S00N-01-N-V-SALARIES,256727000.00,0.00,0.00,256727000.00,225526235.00,31200765.00
,07-2056-00-101-01-S00N-02-N-V-WAGES,10000000.00,0.00,5000000.00,5000000.00,4135794.00,864206.00
,07-2056-00-101-01-S00N-03-N-V-TRAVEL EXPENSES,567000.00,0.00,400000.00,167000.00,131544.00,35456.00
,07-2056-00-101-01-S00N-04-N-V-LIVERIES,1331000.00,0.00,0.00,1331000.00,1330054.00,946.00
,07-2056-00-101-01-S00N-05-N-V-OFFICE EXPENSES,12735000.00,8103000.00,3000000.00,17838000.00,17837964.00,36.00
,07-2056-00-101-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,3148000.00,0.00,1150000.00,1998000.00,1886429.00,111571.00
,"07-2056-00-101-01-S00N-07-N-V-RENT, RATES & TAXES",347000.00,0.00,150397.00,196603.00,196603.00,0.00
,07-2056-00-101-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2056-00-101-01-S00N-15-N-V-TRAINING,115000.00,0.00,115000.00,0.00,0.00,0.00
,07-2056-00-101-01-S00N-20-N-V-OTHER CHARGES,2236000.00,1500000.00,0.00,3736000.00,3735998.00,2.00
,07-2056-00-101-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2056-00-101-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),414000.00,0.00,250000.00,164000.00,163982.00,18.00
,07-2056-00-101-01-S00N-33-N-V-MATERIAL AND SUPPLY,52847000.00,7000000.00,0.00,59847000.00,59846964.00,36.00
,07-2056-00-101-01-S00N-64-N-V-TRANSFER EXPENSES,46000.00,0.00,0.00,46000.00,19941.00,26059.00
,07-2056-00-101-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,3795000.00,1200000.00,0.00,4995000.00,4995000.00,0.00
,07-2056-00-101-02-S00N-01-N-V-SALARIES,26435000.00,0.00,6435000.00,20000000.00,21749142.00,-1749142.00
,07-2056-00-101-02-S00N-03-N-V-TRAVEL EXPENSES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2056-00-101-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,23000.00,0.00,23000.00,0.00,0.00,0.00
,07-2056-00-101-02-S00N-15-N-V-TRAINING,20000.00,0.00,20000.00,0.00,0.00,0.00
,07-2056-00-102-01-S00N-01-N-V-SALARIES,671000.00,0.00,0.00,671000.00,574231.00,96769.00
,07-2056-00-102-01-S00N-02-N-V-WAGES,9441000.00,0.00,0.00,9441000.00,9440843.00,157.00
,07-2056-00-102-01-S00N-03-N-V-TRAVEL EXPENSES,21000.00,0.00,16144.00,4856.00,4856.00,0.00
,07-2056-00-102-01-S00N-05-N-V-OFFICE EXPENSES,42000.00,0.00,0.00,42000.00,33652.00,8348.00
,07-2056-00-102-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,27000.00,0.00,0.00,27000.00,9738.00,17262.00
,07-2056-00-102-01-S00N-33-N-V-MATERIAL AND SUPPLY,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2059-01-053-20-S00N-21-N-V-MAINTENANCE,5908000.00,2000000.00,0.00,7908000.00,7908000.00,0.00
,07-2059-01-053-21-S00N-21-N-V-MAINTENANCE,676000.00,0.00,0.00,676000.00,673900.00,2100.00
,07-2059-01-053-31-S00N-21-N-V-MAINTENANCE,32559000.00,5906000.00,5906000.00,32559000.00,32557956.00,1044.00
,07-2059-01-053-41-S00N-21-N-V-MAINTENANCE,614000.00,0.00,0.00,614000.00,613874.00,126.00
,07-2059-01-053-47-S00N-21-N-V-MAINTENANCE,676000.00,0.00,0.00,676000.00,676000.00,0.00
,07-2059-01-053-62-S00N-21-N-V-MAINTENANCE,506000.00,500000.00,0.00,1006000.00,1006000.00,0.00
,07-2062-00-104-01-S00N-01-N-V-SALARIES,295289000.00,0.00,49489000.00,245800000.00,236199267.00,9600733.00
,07-2062-00-104-01-S00N-02-N-V-WAGES,22430000.00,0.00,800000.00,21630000.00,20976624.00,653376.00
,07-2062-00-104-01-S00N-03-N-V-TRAVEL EXPENSES,1344000.00,0.00,594000.00,750000.00,749827.00,173.00
,07-2062-00-104-01-S00N-05-N-V-OFFICE EXPENSES,8756000.00,0.00,0.00,8756000.00,8755892.00,108.00
,07-2062-00-104-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,3180000.00,0.00,780000.00,2400000.00,2399542.00,458.00
,"07-2062-00-104-01-S00N-07-N-V-RENT, RATES & TAXES",300000.00,290000.00,0.00,590000.00,587049.00,2951.00
,07-2062-00-104-01-S00N-09-N-V-ADVERTISING & PUBLICITY,17000.00,6500.00,0.00,23500.00,23220.00,280.00
,07-2062-00-104-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,32000.00,0.00,0.00,32000.00,31848.00,152.00
,07-2062-00-104-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,126000.00,0.00,46000.00,80000.00,78390.00,1610.00
,07-2062-00-104-01-S00N-15-N-V-TRAINING,185000.00,0.00,163000.00,22000.00,16755.00,5245.00
,07-2062-00-104-01-S00N-19-N-V-SECRET SERVICE EXPENDITURE,396000.00,0.00,0.00,396000.00,396000.00,0.00
,07-2062-00-104-01-S00N-20-N-V-OTHER CHARGES,189000.00,200000.00,0.00,389000.00,388900.00,100.00
,07-2062-00-104-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,3110994.00,0.00,3111994.00,3102994.00,9000.00
,07-2062-00-104-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),3736000.00,0.00,346000.00,3390000.00,3389129.00,871.00
,07-2062-00-104-01-S00N-33-N-V-MATERIAL AND SUPPLY,683000.00,0.00,0.00,683000.00,682267.00,733.00
,07-2062-00-104-01-S00N-64-N-V-TRANSFER EXPENSES,35000.00,0.00,0.00,35000.00,27595.00,7405.00
,07-2062-00-104-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1900000.00,806000.00,0.00,2706000.00,2703169.00,2831.00
,07-2062-00-104-02-S00N-01-N-V-SALARIES,5515000.00,0.00,0.00,5515000.00,4727129.00,787871.00
,07-2062-00-104-02-S00N-02-N-V-WAGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2062-00-104-02-S00N-03-N-V-TRAVEL EXPENSES,10000.00,0.00,0.00,10000.00,0.00,10000.00
,07-2062-00-104-02-S00N-04-N-V-LIVERIES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2062-00-104-02-S00N-05-N-V-OFFICE EXPENSES,220000.00,0.00,22000.00,198000.00,144035.00,53965.00
,07-2062-00-104-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,92000.00,20000.00,0.00,112000.00,91844.00,20156.00
,07-2062-00-104-02-S00N-15-N-V-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2062-00-104-02-S00N-21-N-V-MAINTENANCE,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2062-00-104-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2062-00-104-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),179000.00,0.00,0.00,179000.00,143550.00,35450.00
,07-2062-00-104-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,80000.00,2000.00,0.00,82000.00,81938.00,62.00
,07-2070-00-106-01-S00N-01-N-V-SALARIES,3217000.00,0.00,0.00,3217000.00,3122042.00,94958.00
,07-2070-00-106-01-S00N-03-N-V-TRAVEL EXPENSES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2070-00-106-01-S00N-05-N-V-OFFICE EXPENSES,105000.00,0.00,0.00,105000.00,104844.00,156.00
,07-2070-00-106-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,70000.00,0.00,60000.00,10000.00,2781.00,7219.00
,"07-2070-00-106-01-S00N-07-N-V-RENT, RATES & TAXES",230000.00,0.00,0.00,230000.00,230000.00,0.00
,07-2070-00-106-01-S00N-15-N-V-TRAINING,1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-106-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),2000.00,0.00,0.00,2000.00,894.00,1106.00
,07-2070-00-106-01-S00N-33-N-V-MATERIAL AND SUPPLY,36000.00,0.00,0.00,36000.00,3207.00,32793.00
,07-2070-00-106-02-S00N-01-N-V-SALARIES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2070-00-106-02-S00N-02-N-V-WAGES,459000.00,150000.00,0.00,609000.00,608885.00,115.00
,07-2070-00-106-02-S00N-05-N-V-OFFICE EXPENSES,242000.00,0.00,100000.00,142000.00,142000.00,0.00
,"07-2070-00-106-02-S00N-07-N-V-RENT, RATES & TAXES",40000.00,0.00,0.00,40000.00,36936.00,3064.00
,07-2070-00-106-02-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-106-02-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-106-02-S00N-33-N-V-MATERIAL AND SUPPLY,1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-106-02-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-107-01-S00N-01-N-V-SALARIES,14528000.00,0.00,1000000.00,13528000.00,13467113.00,60887.00
,07-2070-00-107-01-S00N-02-N-V-WAGES,1319000.00,0.00,0.00,1319000.00,1236439.00,82561.00
,07-2070-00-107-01-S00N-03-N-V-TRAVEL EXPENSES,29000.00,10000.00,0.00,39000.00,38852.00,148.00
,07-2070-00-107-01-S00N-05-N-V-OFFICE EXPENSES,994000.00,0.00,0.00,994000.00,993524.00,476.00
,07-2070-00-107-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,443000.00,0.00,200000.00,243000.00,230334.00,12666.00
,07-2070-00-107-01-S00N-09-N-V-ADVERTISING & PUBLICITY,149000.00,0.00,0.00,149000.00,99344.00,49656.00
,07-2070-00-107-01-S00N-15-N-V-TRAINING,2000.00,0.00,2000.00,0.00,0.00,0.00
,07-2070-00-107-01-S00N-20-N-V-OTHER CHARGES,162000.00,0.00,0.00,162000.00,162000.00,0.00
,07-2070-00-107-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,07-2070-00-107-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),268000.00,0.00,0.00,268000.00,267634.00,366.00
,07-2070-00-107-01-S00N-33-N-V-MATERIAL AND SUPPLY,1000.00,0.00,1000.00,0.00,0.00,0.00
,07-2070-00-107-01-S00N-64-N-V-TRANSFER EXPENSES,1000.00,5000.00,0.00,6000.00,5500.00,500.00
